Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
19-Sep-22,26882.65,27034,26506.9,26810.15,22626146,2945.03
20-Sep-22,27079.15,27370.35,26969.55,27020.6,19633125,2783
21-Sep-22,26896.8,27020.5,26805.45,26843.25,25946350,3114.3
22-Sep-22,26659.05,27009.05,26552.45,26782.65,27282240,3347.67
23-Sep-22,26715.65,27063.5,26560.95,26592.35,27880896,3723.2
26-Sep-22,26431.9,27049.2,26186.7,26743.65,31600566,3974.65
27-Sep-22,26922.5,27101.1,26682.15,27004.15,27430316,3671.72
28-Sep-22,26778.85,27243.2,26773.8,27067.65,22561551,3284.68
29-Sep-22,27273.9,27300,26721.95,26819.05,24974339,3698.73
30-Sep-22,26713.05,27091,26453,26981.15,26979720,3586.81
03-Oct-22,26950.05,27011.5,26597.55,26729.1,16409785,2245.8
04-Oct-22,27163.35,27530.8,27106.5,27496.95,22243077,3002.89
06-Oct-22,27734.85,28009.3,27726.05,27928.75,22874779,3300.9
07-Oct-22,27874.85,27972.75,27656.65,27733.6,14940111,2187.67
10-Oct-22,27259.4,28097.6,27259.4,28027.6,23405197,2961.45
11-Oct-22,28065.15,28313.3,27400.05,27469.5,36380028,4998.58
12-Oct-22,27609.65,27752,27416.7,27694.65,20545878,2568.49
13-Oct-22,27625.75,27705.25,27346.5,27506.2,61312108,4364.88
14-Oct-22,28221.05,28371.3,27842.7,27954.05,44867903,5585.15
17-Oct-22,27903.35,28128.85,27798.7,28019.1,19044839,2211.2
18-Oct-22,28342.5,28402.95,28211.55,28315.2,24087645,2750.26
19-Oct-22,28370.5,28376.7,28007.05,28060.35,15245711,2042.18
20-Oct-22,27905.6,28462.25,27901.05,28432.2,19702261,2618.04
21-Oct-22,28428.4,28476.15,28207.3,28336.9,14683696,2059.4
24-Oct-22,28632.85,28663.65,28504.55,28534.3,3825496,438.14
25-Oct-22,28687.9,28820.15,28544.65,28722.85,16473763,2516.46
27-Oct-22,28787.1,28827.45,28403.3,28572.2,22326517,3131.29
28-Oct-22,28567.65,28629.55,28267.2,28318.35,13846894,1944.22
31-Oct-22,28588.7,28843.15,28573.25,28727.6,15964804,2353.71
